spotlight, spot;holofotes, local
kit fox, Vulpes macrotis;raposa do kit, Vulpes macrotis
hare;lebre
school bus;ônibus escolar
ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus;urso polar, urso polar, Ursus Maritimus, Thalarctos maritimus
bagel, beigel;bagel, beigel
kuvasz;kuvasz
miniature poodle;poodle miniatura
ox;boi
guenon, guenon monkey;guenon, macaco guenon
restaurant, eating house, eating place, eatery;restaurante, casa de comer, restaurante, restaurante
Lakeland terrier;Terrier de Lakeland
cheetah, chetah, Acinonyx jubatus;chita, chetah, Acinonyx jubatus
gondola;gôndola
Arctic fox, white fox, Alopex lagopus;Raposa do Ártico, raposa branca, Alopex lagopus
peacock;pavão
lab coat, laboratory coat;jaleco, jaleco
sloth bear, Melursus ursinus, Ursus ursinus;urso-preguiça, Melursus ursinus, Ursus ursinus
trench coat;trincheira
purse;Bolsa
maypole;mastro
whippet;whippet
whiptail, whiptail lizard;chicote, lagarto chicote
Irish terrier;Terrier irlandês
frilled lizard, Chlamydosaurus kingi;lagarto frilled, Chlamydosaurus kingi
china cabinet, china closet;armário de porcelana, armário de porcelana
mountain bike, all-terrain bike, off-roader;bicicleta de montanha, todo-o-terreno, todo-o-terreno
motor scooter, scooter;motoneta, scooter
vulture;abutre
Sealyham terrier, Sealyham;Sealyham terrier, Sealyham
Airedale, Airedale terrier;Airedale, Airedale terrier
hair slide;lâmina de cabelo
golden retriever;retriever dourado
cheeseburger;Hamburguer de queijo
spider monkey, Ateles geoffroyi;macaco-aranha, Ateles geoffroyi
plow, plough;arado, arado
lionfish;peixe-Leão
stinkhorn, carrion fungus;fungo carniça
tray;bandeja
Blenheim spaniel;Spaniel de Blenheim
sulphur butterfly, sulfur butterfly;borboleta de enxofre, borboleta de enxofre
barrow, garden cart, lawn cart, wheelbarrow;carrinho de mão, carrinho de jardim, carrinho de gramado, carrinho de mão
hen;galinha
bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis;bighorn, ovelha bighorn, cimarron, montanha rochosa bighorn, ovelha montanha rochosa, Ovis canadensis
stingray;arraia
Greater Swiss Mountain dog;Maior cão suíço da montanha
bison;búfalo
American black bear, black bear, Ursus americanus, Euarctos americanus;Urso preto americano, urso preto, Ursus americanus, Euarctos americanus
chiffonier, commode;mais chiffonier
lynx, catamount;lince, catamount
airliner;avião
sleeping bag;saco de dormir
canoe;canoa
ram, tup;ram, tup
lawn mower, mower;cortador de grama, cortador
fire engine, fire truck;caminhão de bombeiros
black grouse;galo silvestre preto
basenji;basenji
schooner;escuna
American lobster, Northern lobster, Maine lobster, Homarus americanus;Lagosta americana, lagosta do norte, lagosta do Maine, Homarus americanus
grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus;baleia cinzenta, baleia cinzenta, peixe-diabo, Eschrichtius gibbosus, Eschrichtius robustus
plate;prato
pirate, pirate ship;navio pirata
snorkel;snorkel
Irish setter, red setter;Setter irlandês, setter vermelho
Shih-Tzu;Shih-Tzu
impala, Aepyceros melampus;impala, Aepyceros melampus
little blue heron, Egretta caerulea;garça azul, Egretta caerulea
English springer, English springer spaniel;Springer inglês, springer inglês spaniel
overskirt;overskirt
electric ray, crampfish, numbfish, torpedo;raio elétrico, crampfish, numbfish, torpedo
hoopskirt, crinoline;hoopskirt, crinolina
dhole, Cuon alpinus;dhole, Cuon alpinus
mailbag, postbag;mala postal
dishrag, dishcloth;pano de prato
Chesapeake Bay retriever;Recuperador de Chesapeake Bay
gazelle;gazela
ruffed grouse, partridge, Bonasa umbellus;galo silvestre, perdiz, Bonasa umbellus
Norwich terrier;Norwich terrier
Cardigan, Cardigan Welsh corgi;Casaco de lã, casaco de lã galês corgi
cougar, puma, catamount, mountain lion, painter, panther, Felis concolor;puma, catamount, leão da montanha, pintor, pantera, felis concolor
thresher, thrasher, threshing machine;debulhadora, debulhadora, debulhadora
pajama, pyjama, pj's, jammies;pijama, pijama, pijamas, pijamas
Angora, Angora rabbit;Angora, coelho Angora
grocery store, grocery, food market, market;mercearia, mercearia, mercado de alimentos, mercado
toy terrier;terrier de brinquedo
Old English sheepdog, bobtail;Cão pastor inglês velho, bobtail
admiral;almirante
clumber, clumber spaniel;clumber spaniel
Eskimo dog, husky;Cão esquimó, husky
rugby ball;bola de rugby
thatch, thatched roof;palha, telhado de colmo
coucal;coucal
red wolf, maned wolf, Canis rufus, Canis niger;lobo vermelho, lobo-guará, Canis rufus, Canis niger
garbage truck, dustcart;caminhão de lixo
armadillo;tatu
Border collie;Border collie
academic gown, academic robe, judge's robe;vestido acadêmico, roupão acadêmico, roupão do juiz
kelpie;kelpie
marmot;marmota
sandal;sandália
vestment;vestimenta
red-backed sandpiper, dunlin, Erolia alpina;maçarico-de-dorso-vermelho, dunlin, Erolia alpina
maillot;maillot
ground beetle, carabid beetle;besouro à terra, besouro carabídeo
crash helmet;capacete
dining table, board;mesa de jantar, quadro
Arabian camel, dromedary, Camelus dromedarius;Camelo árabe, dromedário, Camelus dromedarius
apron;avental
Bernese mountain dog;Cão de montanha de Bernese
tiger, Panthera tigris;tigre, Panthera tigris
oystercatcher, oyster catcher;apanhador de ostras, apanhador de ostras
bath towel;toalha de banho
partridge;perdiz
mongoose;mangusto
entertainment center;Centro de entretenimento
hog, pig, grunter, squealer, Sus scrofa;porco, porco, grunhido, guincha, Sus scrofa
lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens;panda menor, panda vermelho, panda, gato urso, urso gato, Ailurus fulgens
porcupine, hedgehog;porco-espinho, ouriço
comic book;história em quadrinhos
butcher shop, meat market;açougue, mercado de carne
Brabancon griffon;Brabancon griffon
EntleBucher;EntleBucher
echidna, spiny anteater, anteater;equidna, tamanduá espinhoso, tamanduá
brain coral;coral cerebral
otter;lontra
spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish;lagosta, lagostim, lagosta, lagosta, lagosta, lagosta
manhole cover;tampa de bueiro
howler monkey, howler;macaco bugio, bugio
albatross, mollymawk;albatroz, mollymawk
bib;babador
yurt;yurt
African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus;Cão de caça africano, cão de hiena, cão de caça do cabo, Lycaon pictus
Japanese spaniel;Spaniel japonês
boxer;boxer
bikini, two-piece;biquíni, duas peças
basset, basset hound;basset, cão basset
wire-haired fox terrier;terrier de raposa
promontory, headland, head, foreland;promontório, promontório, cabeça, foreland
bonnet, poke bonnet;capô, puxão capô
bull mastiff;mastim de touro
beagle;beagle
zebra;zebra
Walker hound, Walker foxhound;Walker hound, Walker foxhound
go-kart;kart
killer whale, killer, orca, grampus, sea wolf, Orcinus orca;baleia assassina, assassino, orca, grampus, lobo do mar, orcinus orca
sea lion;Leão marinho
sandbar, sand bar;barra de areia, barra de areia
lumbermill, sawmill;serração, serração
affenpinscher, monkey pinscher, monkey dog;affenpinscher, pinscher macaco, cão macaco
American coot, marsh hen, mud hen, water hen, Fulica americana;Galeirão americano, galinha do pântano, galinha da lama, galinha da água, Fulica americana
wild boar, boar, Sus scrofa;javali, javali, Sus scrofa
fireboat;fireboat
pizza, pizza pie;pizza, torta de pizza
jackfruit, jak, jack;jaca, jak, macaco
rock beauty, Holocanthus tricolor;beleza do rock, Holocanthus tricolor
sarong;sarongue
minivan;minivan
curly-coated retriever;retriever de revestimento encaracolado
chow, chow chow;comida, comida comida
bluetick;bluetick
wombat;wombat
speedboat;lancha
American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier;American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier
Pekinese, Pekingese, Peke;Pequinês, pequinês, peke
spaghetti squash;espaguete de abóbora
plate rack;rack de chapa
garter snake, grass snake;cobra-liga, cobra-grama
library;biblioteca
Mexican hairless;Mexicano sem pêlos
anemone fish;peixe anêmona
knee pad;joelheira
European gallinule, Porphyrio porphyrio;Gallinule europeu, Porphyrio porphyrio
cocker spaniel, English cocker spaniel, cocker;cocker spaniel, inglês cocker spaniel, cocker
Labrador retriever;Labrador retriever
redbone;redbone
shower cap;touca de banho
beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon;vagão de praia, perua, vagão, carro de propriedade, vagão de praia, vagão de estação, vagão
loggerhead, loggerhead turtle, Caretta caretta;cabeçuda, tartaruga cabeçuda, Caretta caretta
lifeboat;bote salva vidas
tow truck, tow car, wrecker;caminhão de reboque, carro de reboque, destruidor
bolete;bolete
ambulance;ambulância
Rhodesian ridgeback;Rhodesian ridgeback
Great Dane;Dogue alemão
confectionery, confectionary, candy store;confeitaria, confeitaria, loja de doces
aircraft carrier, carrier, flattop, attack aircraft carrier;porta-aviões, porta-aviões, flattop, ataque porta-aviões
baboon;babuíno
Dungeness crab, Cancer magister;Caranguejo de Dungeness, câncer magister
dingo, warrigal, warragal, Canis dingo;Dingo, Warrigal, Warragal, Canis Dingo
jaguar, panther, Panthera onca, Felis onca;onça-pintada, pantera, Panthera onca, Felis onca
English setter;Setter inglês
bookshop, bookstore, bookstall;livraria, livraria, livraria
Bouvier des Flandres, Bouviers des Flandres;Bouvier des Flandres, Bouviers des Flandres
patio, terrace;pátio, terraço
plane, carpenter's plane, woodworking plane;avião, avião do carpinteiro, avião para madeira
French bulldog;Bulldog francês
zucchini, courgette;abobrinha, abobrinha
boathouse;casa de barcos
Kerry blue terrier;Terrier azul de Kerry
Staffordshire bullterrier, Staffordshire bull terrier;Staffordshire bullterrier, Staffordshire bull terrier
Sussex spaniel;Spaniel de Sussex
gyromitra;Gyromitra
komondor;komondor
sports car, sport car;carro esporte
king penguin, Aptenodytes patagonica;pinguim-rei, Aptenodytes patagonica
poncho;poncho
tricycle, trike, velocipede;triciclo, trike, velocípede
electric locomotive;locomotiva elétrica
moped;ciclomotor
consomme;consomer
wreck;destruir
Welsh springer spaniel;Spaniel de galês
shopping basket;Cesta de compras
stone wall;parede de pedra
dowitcher;dowitcher
ruddy turnstone, Arenaria interpres;torniquete corado, Arenaria interpres
Pembroke, Pembroke Welsh corgi;Pembroke, Pembroke Galês corgi
tusker;tusker
swimming trunks, bathing trunks;calção de banho, calção de banho
cuirass;couraça
bustard;abetarda
miniature schnauzer;schnauzer miniatura
Scotch terrier, Scottish terrier, Scottie;Terrier escocês, terrier escocês, scottie
police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria;van da polícia, vagão da polícia, paddy vagão, vagão de patrulha, vagão, preto Maria
head cabbage;repolho
ibex, Capra ibex;ibex, Capra ibex
Appenzeller;Appenzeller
lion, king of beasts, Panthera leo;leão, rei dos animais, Panthera leo
Australian terrier;Terrier australiano
rock crab, Cancer irroratus;caranguejo, câncer irroratus
standard schnauzer;schnauzer convencional
English foxhound;Foxhound inglês
golfcart, golf cart;carrinho de golfe
waffle iron;waffle iron
chiton, coat-of-mail shell, sea cradle, polyplacophore;chiton, invólucro da brasa, berço marinho, poliplacóforo
dam, dike, dyke;barragem, dique, dique
snowplow, snowplough;limpa-neve, limpa-neve
otterhound, otter hound;lontra, cão lontra
silky terrier, Sydney silky;terrier sedoso, Sydney sedoso
collie;collie
Shetland sheepdog, Shetland sheep dog, Shetland;Cão pastor de Shetland, cão pastor Shetland, Shetland
Tibetan terrier, chrysanthemum dog;Terrier tibetano, cão de crisântemo
box turtle, box tortoise;tartaruga de caixa, tartaruga de caixa
cardigan;casaco
jeep, landrover;jipe, landrover
cliff, drop, drop-off;penhasco, queda, queda
sturgeon;esturjão
Pomeranian;Pomerânia
valley, vale;vale, vale
tench, Tinca tinca;tenca, Tinca tinca
earthstar;earthstar
mosquito net;mosquiteiro
Norwegian elkhound, elkhound;Elkhound norueguês, elkhound
pickelhaube;pickelhaube
muzzle;focinho
worm fence, snake fence, snake-rail fence, Virginia fence;cerca de verme, cerca de cobra, cerca de trilho de cobra, cerca de Virgínia
passenger car, coach, carriage;carro de passageiro, treinador, transporte
pickup, pickup truck;pickup, caminhonete
jinrikisha, ricksha, rickshaw;jinrikisha, riquexó, riquexó
steam locomotive;locomotiva a vapor
Christmas stocking;Meia de Natal
vizsla, Hungarian pointer;vizsla, ponteiro húngaro
horse cart, horse-cart;carrinho de cavalo, carrinho de cavalo
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch;coho, coho, salmão coho, jack azul, salmão prateado, Oncorhynchus kisutch
stole;roubou
king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica;caranguejo rei, caranguejo alasca, caranguejo rei alasca, caranguejo rei alasca, Paralithodes camtschatica
yawl;guinada
papillon;papillon
African elephant, Loxodonta africana;Elefante africano, Loxodonta africana
bassinet;berço
water buffalo, water ox, Asiatic buffalo, Bubalus bubalis;búfalo de água, boi de água, búfalo asiático, Bubalus bubalis
trolleybus, trolley coach, trackless trolley;trólebus, ônibus bonde, carrinho sem esteira
bobsled, bobsleigh, bob;trenó, trenó, bob
hot pot, hotpot;panela quente, panela quente
Irish wolfhound;Wolfhound irlandês
German shepherd, German shepherd dog, German police dog, alsatian;Pastor alemão, cão pastor alemão, cão policial alemão, alsaciano
maillot, tank suit;maillot, roupa de tanque
koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus;coala, urso coala, urso canguru, urso nativo, Phascolarctos cinereus
Rottweiler;Rottweiler
moving van;Van em movimento
bakery, bakeshop, bakehouse;padaria, padaria, padaria
malinois;Malinois
African crocodile, Nile crocodile, Crocodylus niloticus;Crocodilo africano, crocodilo do Nilo, Crocodylus niloticus
malamute, malemute, Alaskan malamute;malamute, malemute, malamute do Alasca
soft-coated wheaten terrier;terrier de trigo macio
breakwater, groin, groyne, mole, bulwark, seawall, jetty;quebra-mar, virilha, quebra-mar, toupeira, baluarte, paredão, molhe
acorn squash;abóbora
shoe shop, shoe-shop, shoe store;sapataria, sapataria, sapataria
apiary, bee house;apiário
hamper;dificultar
Saint Bernard, St Bernard;São Bernardo, São Bernardo
sorrel;alazão
harvester, reaper;ceifeira, ceifeira
Dandie Dinmont, Dandie Dinmont terrier;Dandie Dinmont, terrier de Dandie Dinmont
backpack, back pack, knapsack, packsack, rucksack, haversack;mochila, mochila, mochila, mochila, mochila, mochila
Tibetan mastiff;Mastim tibetano
standard poodle;poodle padrão
Saluki, gazelle hound;Saluki, cão de gazela
half track;meia pista
mud turtle;tartaruga de barro
Scottish deerhound, deerhound;Deerhound escocês, Deerhound
keeshond;keeshond
sea cucumber, holothurian;pepino do mar, holotúria
miniature pinscher;pinscher miniatura
wool, woolen, woollen;lã, lã, lã
Gordon setter;Gordon setter
amphibian, amphibious vehicle;veículo anfíbio, anfíbio
prairie chicken, prairie grouse, prairie fowl;galinha da pradaria, galo silvestre da pradaria, galinha da pradaria
drake;drake
coral reef;Recife de corais
hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa;galinha-da-floresta, galinha da floresta, Polyporus frondosus, Grifola frondosa
hippopotamus, hippo, river horse, Hippopotamus amphibius;hipopótamo, hipopótamo, cavalo de rio, hipopótamo anfíbio
recreational vehicle, RV, R.V.;veículo de recreio, RV, R.V.
Model T;Modelo T
Leonberg;Leonberg
Afghan hound, Afghan;Galgo afegão, afegão
oxcart;carro de boi
red-breasted merganser, Mergus serrator;merganso-de-peito-vermelho, serrador Mergus
convertible;conversível
Newfoundland, Newfoundland dog;Terra Nova, cão de Terra Nova
cairn, cairn terrier;monte de pedras
Border terrier;Border terrier
briard;briard
snowmobile;moto de neve
German short-haired pointer;Ponteiro alemão de pêlo curto
warthog;javali
toyshop;loja de brinquedos
flat-coated retriever;recuperador de revestimento plano
giant schnauzer;schnauzer gigante
pillow;travesseiro
dogsled, dog sled, dog sleigh;trenó de cão, trenó de cachorro
